Series,Rate,Episodes,Published_Year
A Killer Paradox Korean Drama,10,8,2024
A Shop for Killers Korean Drama,9.5,8,2024
Bad and Crazy Korean Drama,8.5,12,2021
Crash Landing on You Korean Drama,9.5,16,2019
D.P. Season 2 Korean Drama,10,6,2023
Death's Game Korean Drama,10,4,2023
Death's Game Part 2 Korean Drama,10,4,2024
Descendants of the Sun Korean Drama,9.0,16,2016
Doctor Slump Korean Drama,8.5,16,2024
Dream Korean Movie,10,1,2023
Duty after School: Part 1 Korean Drama,10,6,2023
Extraordinary Attorney Woo Korean Drama,9.0,16,2022
Fight for My Way Korean Drama,9.0,16,2017
Her Private Life Korean Drama,8.5,16,2019
King the Land Korean Drama,7.5,16,2023
Love Reset Korean Movie,10,1,2023
Lovely Runner Korean Drama,10,16,2024
Lovestruck in the City Korean Drama,8.0,17,2020
Military Prosecutor Doberman Korean Drama,8.5,16,2022
My Demon Korean Drama,9.0,16,2023
Parasyte: The Grey Korean Drama,8.5,6,2024
Physical: 100 Korean TV Show,9.0,9,2023
Pyramid Game Korean Drama,8.0,10,2024
Something in the Rain Korean Drama,8.0,16,2018
Squid Game Korean Drama,10,9,2021
The 8 Show Korean Drama,9.0,8,2024
The Uncanny Counter Korean Drama,9.0,16,2020
The Uncanny Counter Season 2: Counter Punch Korean Drama,8.0,12,2023
True Beauty Korean Drama,9.0,16,2020
What's Wrong with Secretary Kim Korean Drama,9.5,16,2018
While You Were Sleeping Korean Drama,9.0,32,2017
