Stage,Team A,Team B,Time,Score
نصف النهائي,بيراميدز,الزمالك,16:05,-  –  -
نصف النهائي,الأهلي,سيراميكا كليوباترا,20:00,-  –  -
الأسبوع الثامن,وولفرهامبتون,مانشستر سيتي,16:00,-  –  -
الأسبوع الثامن,ليفربول,تشيلسي,18:30,-  –  -
الأسبوع العاشر,مايوركا,رايو فاييكانو,15:00,-  –  -
الأسبوع العاشر,اتلتيكو مدريد,ديبورتيفو ليجانيس,17:15,-  –  -
الأسبوع العاشر,فياريال,خيتافي,19:30,-  –  -
الأسبوع العاشر,برشلونة,اشبيلية,22:00,-  –  -
الأسبوع السابع,هولشتاين كيل,يونيون برلين,16:30,-  –  -
الأسبوع السابع,فولفسبورج,فيردر بريمن,18:30,-  –  -
الأسبوع الثالث,كهرباء الإسماعيلية,المنصورة,15:30,-  –  -
الأسبوع الثالث,الداخلية,منتخب السويس,15:30,-  –  -
الأسبوع الثالث,أبو قير للاسمدة,وادي دجلة,15:30,-  –  -
الأسبوع الثالث,المصرية للاتصالات,بلدية المحلة,15:30,-  –  -
الأسبوع الثالث,السكة الحديد,راية الرياضي,15:30,-  –  -
الأسبوع الثامن,لوهافر,ليون,16:00,-  –  -
الأسبوع الثامن,اوكسير,ريمس,18:00,-  –  -
الأسبوع الثامن,تولوز,أنجيه,18:00,-  –  -
الأسبوع الثامن,نانت,نيس,18:00,-  –  -
الأسبوع الثامن,مونبيليه,مارسيليا,21:45,-  –  -
الأسبوع الثامن,إمبولي,نابولي,13:30,-  –  -
الأسبوع الثامن,فينيزيا,أتالانتا,16:00,-  –  -
الأسبوع الثامن,ليتشي,فيورنتينا,16:00,-  –  -
الأسبوع الثامن,كالياري,تورينو,19:00,-  –  -
الأسبوع الثامن,روما,إنتر ميلان,21:45,-  –  -
الأسبوع السابع,الفتح,الخلود,17:45,-  –  -
الأسبوع السابع,الأخدود,الرياض,18:20,-  –  -
الأسبوع السابع,الاتفـــــاق,العروبة,21:00,-  –  -
الأسبوع التاسع,سيفاسبور,هاتاي سبور,13:30,-  –  -
الأسبوع التاسع,بشكتاش,قونيا سبور,16:00,-  –  -
الأسبوع التاسع,سامسون سبور,فنربخشة,19:00,-  –  -
الأسبوع التاسع,ألانيا سبور,قاسم باشا,19:00,-  –  -
الأسبوع السادس,أولمبيك آسفي,اتحاد طنجة,20:00,-  –  -
الأسبوع الخامس,قوافل قفصة,الأولمبي الباجي,17:00,-  –  -
الأسبوع الخامس,الترجي الجرجيسي,الترجى الرياضي,17:00,-  –  -
الأسبوع الخامس,النجم الساحلى,الملعب التونسي,17:00,-  –  -
الأسبوع الخامس,فابيس,سليمان الرياضي,17:00,-  –  -
الأسبوع الخامس,إتحاد بن قردان,اتحاد تطاوين,17:00,-  –  -
